id,x_m,y_m,lat,lon
16,15.339,89.401,40.4979822,116.9996319
17,15.424,84.046,40.4979341,116.9996329
18,14.416,83.913,40.4979329,116.9996210
19,14.348,78.703,40.4978861,116.9996202
20,23.000,78.692,40.4978860,116.9997224
21,22.839,83.601,40.4979301,116.9997205
22,21.612,83.723,40.4979312,116.9997060
23,21.730,85.482,40.4979470,116.9997074
24,22.991,85.427,40.4979465,116.9997223
25,22.966,89.434,40.4979825,116.9997220
26,14.628,71.612,40.4978224,116.9996235
27,14.602,67.448,40.4977850,116.9996232
28,18.776,67.582,40.4977862,116.9996725
29,18.691,64.487,40.4977584,116.9996715
30,23.195,64.588,40.4977593,116.9997247
31,23.084,67.471,40.4977852,116.9997234
32,25.108,67.504,40.4977855,116.9997473
33,25.057,71.690,40.4978231,116.9997467
34,8.220,51.919,40.4976455,116.9995478
35,8.186,46.142,40.4975936,116.9995474
36,22.467,46.598,40.4975977,116.9997161
37,22.500,51.919,40.4976455,116.9997165
38,11.665,42.390,40.4975599,116.9995885
39,11.775,34.442,40.4974885,116.9995898
40,14.450,34.398,40.4974881,116.9996214
41,14.416,42.502,40.4975609,116.9996210
42,19.444,41.967,40.4975561,116.9996804
43,19.402,33.797,40.4974827,116.9996799
44,21.933,33.797,40.4974827,116.9997098
45,21.899,41.856,40.4975551,116.9997094
46,13.053,26.750,40.4974194,116.9996049
47,13.214,23.967,40.4973944,116.9996068
48,21.171,24.301,40.4973974,116.9997008
49,21.222,26.939,40.4974211,116.9997014
50,39.719,97.082,40.4980512,116.9999199
51,39.769,90.302,40.4979903,116.9999205
52,37.822,90.202,40.4979894,116.9998975
53,37.975,81.686,40.4979129,116.9998993
54,39.617,81.842,40.4979143,116.9999187
55,39.769,75.107,40.4978538,116.9999205
56,56.268,75.374,40.4978562,117.0001154
57,55.997,83.902,40.4979328,117.0001122
58,57.792,83.846,40.4979323,117.0001334
59,57.682,90.458,40.4979917,117.0001321
60,55.845,90.403,40.4979912,117.0001104
61,55.845,96.970,40.4980502,117.0001104
62,44.044,70.710,40.4978143,116.9999710
63,44.197,65.133,40.4977642,116.9999728
64,65.859,65.178,40.4977646,117.0002287
65,65.647,70.654,40.4978138,117.0002262
66,43.265,46.843,40.4975999,116.9999618
67,43.596,41.010,40.4975475,116.9999657
68,51.358,41.144,40.4975487,117.0000574
69,51.155,47.233,40.4976034,117.0000550
70,43.138,35.244,40.4974957,116.9999603
71,43.265,33.140,40.4974768,116.9999618
72,43.756,33.006,40.4974756,116.9999676
73,43.892,29.767,40.4974465,116.9999692
74,43.206,29.767,40.4974465,116.9999611
75,43.282,27.474,40.4974259,116.9999620
76,49.326,27.507,40.4974262,117.0000334
77,49.199,29.767,40.4974465,117.0000319
78,48.861,30.034,40.4974489,117.0000279
79,48.895,35.333,40.4974965,117.0000283
80,72.326,52.454,40.4976503,117.0003051
81,72.352,48.346,40.4976134,117.0003054
82,66.392,48.302,40.4976130,117.0002350
83,66.612,40.888,40.4975464,117.0002376
84,84.711,40.966,40.4975471,117.0004514
85,84.677,48.346,40.4976134,117.0004510
86,76.737,48.491,40.4976147,117.0003572
87,76.669,52.454,40.4976503,117.0003564
