id,x_m,y_m,lat,lon
145,7.170,1.191,40.4976003,117.0000058
146,7.170,7.091,40.4976533,117.0000058
147,5.934,1.191,40.4976003,116.9999912
148,5.934,7.091,40.4976533,116.9999912
149,7.170,0.000,40.4975896,117.0000058
150,12.368,0.000,40.4975896,117.0000672
151,12.368,8.505,40.4976660,117.0000672
152,7.170,8.505,40.4976660,117.0000058
153,1.701,1.124,40.4975997,116.9999412
154,5.934,1.124,40.4975997,116.9999912
155,5.934,8.650,40.4976673,116.9999912
156,1.701,8.650,40.4976673,116.9999412
157,7.094,19.982,40.4977691,117.0000049
158,12.528,19.982,40.4977691,117.0000691
159,12.528,16.976,40.4977421,117.0000691
160,12.528,14.394,40.4977189,117.0000691
161,12.892,16.987,40.4977422,117.0000734
162,12.909,14.394,40.4977189,117.0000736
163,12.528,14.305,40.4977181,117.0000691
164,7.094,14.305,40.4977181,117.0000049
165,12.952,22.498,40.4977917,117.0000741
166,12.952,19.982,40.4977691,117.0000741
167,6.577,19.982,40.4977691,116.9999988
168,6.577,22.498,40.4977917,116.9999988
169,2.861,22.709,40.4977936,116.9999549
170,2.887,14.382,40.4977188,116.9999552
171,0.017,14.371,40.4977187,116.9999213
172,0.000,22.709,40.4977936,116.9999211
